"last_name, first_name","player_id","year","p_era","n_fastball_formatted","fastball_avg_speed","fastball_avg_spin","fastball_avg_break_x","fastball_avg_break_z","fastball_avg_break","fastball_range_speed","n_breaking_formatted","breaking_avg_speed","breaking_avg_spin","breaking_avg_break_x","breaking_avg_break_z","breaking_avg_break","breaking_range_speed","n_offspeed_formatted","offspeed_avg_speed","offspeed_avg_spin","offspeed_avg_break_x","offspeed_avg_break_z","offspeed_avg_break","offspeed_range_speed",""
"Keller, Brad","641745","2019","4.19","66.9","93.4","2223","-4.1","-19","14.5","1.7","31.4","84.9","2510","7.2","-44","8.9","1.7","1.7","88","1706","-7","-28.7","10.4","1.6",
"Quintana, Jose","500779","2019","4.68","61.8","91.4","2000","7.6","-17.6","17.3","1","27.2","77","2215","-8.6","-54.5","12","1.1","11","86.5","1287","8.5","-27","13.4","1.2",
"Stroman, Marcus","573186","2019","3.22","63","91.9","2453","-6.8","-27.4","10.9","1.3","31.7","85.4","2833","11.3","-38.4","11.8","2.9","5.3","87","1927","-14","-30.1","15.8","2.1",
"Miley, Wade","489119","2019","3.98","69.1","88.3","2229","0.2","-24.8","11.9","2.4","10.3","76.1","2425","-7.4","-61","13.8","2.7","20.7","81.2","1869","14.9","-31.3","18.5","1.4",
"Turnbull, Spencer","605513","2019","4.61","64.3","93.8","2333","-6.1","-21.1","13.4","1.5","32.8","84.2","2493","7.4","-43.4","10","3.9","2.9","86.6","1810","-16.8","-33.3","17.5","1.8",
"Matz, Steven","571927","2019","4.21","50.6","93.3","2102","15.8","-20.7","19.2","1.2","29.3","84","2261","-4.7","-41.1","10.8","6.3","20.1","84.3","2301","16.8","-36.1","17.1","1.3",
"German, Domingo","593334","2019","4.03","44.9","93.5","2435","-12","-17.7","19","1.4","36.1","81.7","2599","1.5","-46.8","5.3","1.5","19","87","2414","-17.4","-26.6","20","1.4",
"Teheran, Julio","527054","2019","3.81","64.4","89.6","2352","-9.4","-24.6","14.7","1.7","27.4","80.4","2643","5.3","-40.8","7.4","4","8.2","83.6","1704","-14.9","-31.7","16.8","1.7",
"Anderson, Chase","502624","2019","4.21","65.5","92.7","2215","-7.1","-16.9","17.8","1.9","10.3","77.8","2171","7.5","-61.4","15.9","1.4","24.2","82.7","2311","-17.7","-29.7","21.3","1.2",
"Darvish, Yu","506433","2019","3.98","39.6","93.8","2549","-4.8","-17.1","15.8","2.2","51.8","84","2692","9.6","-41.7","11","4.3","8.6","89.4","1533","-6.3","-28.2","9.7","2.6",
"Bassitt, Chris","605135","2019","3.81","78.7","92.6","2187","-10.6","-20.9","16.6","2.7","12.9","70.4","2239","13.7","-71.1","19.5","1.9","8.4","85","2057","-17.1","-28.5","19.8","1.3",
"Brault, Steven","643230","2019","5.16","78.7","90.4","2055","7.3","-24.4","13.7","3.9","7.1","79.7","2166","-7.6","-44.4","8.1","3.9","14.2","84.3","1582","10","-35.6","10.5","1.5",
"Lynn, Lance","458681","2019","3.67","87.5","93.2","2467","-5.7","-20.1","14.1","2.9","9.5","81.2","2352","7.8","-52","12.6","1.7","3","86.9","1811","-12.6","-29.6","14.4","2.1",
"Smith, Caleb","592761","2019","4.52","53.8","91.6","2425","14.6","-17.4","22.5","1.4","31.6","83.5","2297","-2.1","-37.5","5.2","1.9","14.7","82.6","1918","15.9","-30.9","19.5","1.2",
"Lauer, Eric","641778","2019","4.45","74.7","90.7","2215","6.1","-19.1","16.6","2.5","21.7","78.7","2382","-4.1","-51.4","7.5","3","3.6","85.9","1982","13.4","-25.2","18.7","1.5",
"Porcello, Rick","519144","2019","5.52","57","90.4","2370","-12.4","-21.8","18.3","1.6","31.1","80.5","2660","8.2","-44.4","10.6","5.4","11.9","80.8","1600","-13.9","-34.6","16.2","1.6",
"Norris, Daniel","596057","2019","4.49","51.7","90.7","2365","7.6","-18.1","18.3","1.7","29.3","82.4","2518","-5.9","-44.9","8.6","4.3","19","85.7","1568","12.3","-38.5","12.6","1.8",
"Hamels, Cole","430935","2019","3.81","66.2","90.3","2036","6.7","-20.8","15.2","2.2","12.5","78","2040","-6.2","-56.7","12.4","1.6","21.3","83.3","1713","13.1","-30.8","16.1","1.3",
"Lester, Jon","452657","2019","4.46","72.7","89.1","2302","4","-22.4","14","1.9","15.4","74.5","2606","-11.5","-55.3","12.6","2","11.9","84.3","1939","13.5","-31.4","15.3","1.4",
"Lyles, Jordan","543475","2019","4.15","52","92.6","2161","-7.2","-15.1","17.9","1.2","41.1","82.2","2454","5.5","-50.4","13.8","3.6","7","85.6","1549","-13.7","-29.8","15.5","1.8",
"Richards, Trevor","670950","2019","4.06","54.3","89.7","2118","-5.5","-18.5","17.4","2.8","7.3","78.9","2228","3.9","-51.9","8.6","1.6","38.4","83.4","2392","-15.5","-30.6","17.9","1.2",
"Leake, Mike","502190","2019","4.29","58.8","87.6","2131","-4.9","-31","9.9","1.9","20.5","79.9","2533","11.5","-46.4","11.9","2","20.7","84","1719","-12.5","-41.2","12.9","1.6",
"Bieber, Shane","669456","2019","3.28","45.8","93.1","2254","-8.3","-13.6","19.7","0.8","47","84","2341","2.5","-41.7","7.2","1.7","7.3","87.6","1725","-15.7","-28.4","17.5","1",
"Kikuchi, Yusei","579328","2019","5.46","48.9","92.5","2096","5.7","-16.1","16.8","1.7","43.5","82.1","2333","-4.7","-44.6","9.3","6.2","7.6","84.5","1772","11.5","-29.1","14.8","2",
"Kelly, Merrill","518876","2019","4.42","65.2","91.3","2403","-4.1","-19.9","14.8","1.9","21.4","80.6","2683","9.6","-55.3","15.9","1.8","13.4","86","2108","-12.6","-24","18.5","1.5",
"Rodriguez, Eduardo","593958","2019","3.81","70.6","91.9","2191","7.9","-21.1","15.1","2.6","5.4","83.3","2252","-4.6","-42","7.1","3.2","24.1","87.6","2047","17.5","-30.2","18.6","1.5",
"Sale, Chris","519242","2019","4.40","46","93.1","2363","15.9","-21.6","19.5","2.3","38.4","79","2492","-14","-49.8","14.9","2.4","15.6","85.2","1965","19","-38.7","19.2","1.8",
"Davies, Zach","605200","2019","3.55","64.4","88.1","2248","-14","-23.1","19.5","1.4","4.3","76.4","2603","8.1","-56.5","11.7","2.3","31.3","80","1785","-15.3","-35.3","17.6","1.1",
"Wheeler, Zack","554430","2019","3.96","78.9","95.3","2321","-8.6","-17.4","15.9","3.1","9.9","80.7","2648","8.1","-54.1","14.2","1.5","11.1","88.9","1730","-12.5","-24.7","16","1.4",
"Happ, J.A.","457918","2019","4.91","65.9","91.3","2262","9.7","-18","18.7","1.7","18.3","84.6","2191","-2.5","-33","7.3","2","15.9","86","1715","14.6","-29.4","17.1","1.3",
"Sanchez, Anibal","434671","2019","3.85","63.3","89.3","2251","-2","-19.6","16.1","2","8.7","78.9","2180","4.4","-45.1","5.8","3.4","28","82.1","1670","-13.2","-32.9","15.9","5.8",
